country_name	country_iso2	week	category	weekly_rank	show_title	season_title	cumulative_weeks_in_top_10
South Korea	KR	2026-08-02	Films	1	Sample Film 1	N/A	1
South Korea	KR	2026-08-02	Films	2	Sample Film 2	N/A	1
South Korea	KR	2026-08-02	Films	3	Sample Film 3	N/A	1
South Korea	KR	2026-08-02	Films	4	Sample Film 4	N/A	1
South Korea	KR	2026-08-02	Films	5	Sample Film 5	N/A	1
South Korea	KR	2026-08-02	Films	6	Sample Film 6	N/A	1
South Korea	KR	2026-08-02	Films	7	Sample Film 7	N/A	1
South Korea	KR	2026-08-02	Films	8	Sample Film 8	N/A	1
South Korea	KR	2026-08-02	Films	9	Sample Film 9	N/A	1
South Korea	KR	2026-08-02	Films	10	Sample Film 10	N/A	1
South Korea	KR	2026-08-02	TV	1	Sample Show A	Sample Show A: Season 1	1
South Korea	KR	2026-08-02	TV	2	Sample Show B	Sample Show B: Limited Series	1
South Korea	KR	2026-08-02	TV	3	Sample Show C	Sample Show C: Season 2	3
South Korea	KR	2026-08-02	TV	4	Sample Show D	Sample Show D: Season 1	1
South Korea	KR	2026-08-02	TV	5	Sample Show E	Sample Show E: Season 1	2
South Korea	KR	2026-08-02	TV	6	Sample Show F	Sample Show F: Season 1	1
South Korea	KR	2026-08-02	TV	7	Sample Show G	Sample Show G: Season 1	1
South Korea	KR	2026-08-02	TV	8	Sample Show H	Sample Show H: Season 1	1
South Korea	KR	2026-08-02	TV	9	Sample Show I	Sample Show I: Season 1	1
South Korea	KR	2026-08-02	TV	10	Sample Show J	Sample Show J: Season 1	1
South Korea	KR	2026-08-09	Films	1	Sample Film 2	N/A	2
South Korea	KR	2026-08-09	Films	2	Sample Film 1	N/A	2
South Korea	KR	2026-08-09	Films	3	Sample Film 11	N/A	1
South Korea	KR	2026-08-09	Films	4	Sample Film 4	N/A	2
South Korea	KR	2026-08-09	Films	5	Sample Film 5	N/A	2
South Korea	KR	2026-08-09	Films	6	Sample Film 6	N/A	2
South Korea	KR	2026-08-09	Films	7	Sample Film 7	N/A	2
South Korea	KR	2026-08-09	Films	8	Sample Film 8	N/A	2
South Korea	KR	2026-08-09	Films	9	Sample Film 9	N/A	2
South Korea	KR	2026-08-09	Films	10	Sample Film 10	N/A	2
South Korea	KR	2026-08-09	TV	1	Sample Show C	Sample Show C: Season 2	4
South Korea	KR	2026-08-09	TV	2	Sample Show A	Sample Show A: Season 1	2
South Korea	KR	2026-08-09	TV	3	Sample Show K	Sample Show K: Limited Series	1
South Korea	KR	2026-08-09	TV	4	Sample Show B	Sample Show B: Limited Series	2
South Korea	KR	2026-08-09	TV	5	Sample Show D	Sample Show D: Season 1	2
South Korea	KR	2026-08-09	TV	6	Sample Show E	Sample Show E: Season 1	3
South Korea	KR	2026-08-09	TV	7	Sample Show F	Sample Show F: Season 1	2
South Korea	KR	2026-08-09	TV	8	Sample Show G	Sample Show G: Season 1	2
South Korea	KR	2026-08-09	TV	9	Sample Show H	Sample Show H: Season 1	2
South Korea	KR	2026-08-09	TV	10	Sample Show I	Sample Show I: Season 1	2
